,Datetime,Channel,Chamber,Sensor Name,Unit,Value,Metodo
0,2022-04-20 23:59:21.880000+00:00,20,0,Muestra,muestra,1283.0,PP
1,2022-04-20 23:59:21.875000+00:00,19,2,Oxigeno - II,p,20.839,PP
2,2022-04-20 23:59:21.748000+00:00,16,1,Oxigeno - I,p,20.785,PP
3,2022-04-20 23:59:21.574000+00:00,14,2,Temp. Matriz II,c,23.875,PP
4,2022-04-20 23:59:21.453000+00:00,13,1,Temp. Matriz I,c,23.5,PP
5,2022-04-20 23:59:21.210000+00:00,18,2,Hum. Rel. II,p,62.6,PP
6,2022-04-20 23:59:21.207000+00:00,12,1,Hum. Rel. I,p,64.8,PP
7,2022-04-20 23:59:21.069000+00:00,17,2,Temp. amb II,c,23.9,PP
8,2022-04-20 23:59:20.948000+00:00,11,1,Temp. amb I,c,23.9,PP
9,2022-04-20 23:57:52.037000+00:00,20,0,Muestra,muestra,1282.0,PP
10,2022-04-20 23:57:51.980000+00:00,19,2,Oxigeno - II,p,20.839,PP
11,2022-04-20 23:57:51.837000+00:00,16,1,Oxigeno - I,p,20.785,PP
12,2022-04-20 23:57:51.663000+00:00,14,2,Temp. Matriz II,c,23.875,PP
13,2022-04-20 23:57:51.531000+00:00,13,1,Temp. Matriz I,c,23.5,PP
14,2022-04-20 23:57:51.200000+00:00,12,1,Hum. Rel. I,p,64.8,PP
15,2022-04-20 23:57:51.160000+00:00,17,2,Temp. amb II,c,23.9,PP
16,2022-04-20 23:57:51.159000+00:00,18,2,Hum. Rel. II,p,62.6,PP
17,2022-04-20 23:57:51.089000+00:00,11,1,Temp. amb I,c,23.9,PP
18,2022-04-20 23:56:22.321000+00:00,20,0,Muestra,muestra,1281.0,PP
19,2022-04-20 23:56:22.148000+00:00,16,1,Oxigeno - I,p,20.785,PP
20,2022-04-20 23:56:22.060000+00:00,19,2,Oxigeno - II,p,20.843,PP
21,2022-04-20 23:56:21.755000+00:00,14,2,Temp. Matriz II,c,23.875,PP
22,2022-04-20 23:56:21.624000+00:00,13,1,Temp. Matriz I,c,23.5,PP
23,2022-04-20 23:56:21.255000+00:00,17,2,Temp. amb II,c,24.0,PP
24,2022-04-20 23:56:21.246000+00:00,18,2,Hum. Rel. II,p,62.5,PP
25,2022-04-20 23:56:21.245000+00:00,12,1,Hum. Rel. I,p,64.8,PP
26,2022-04-20 23:56:21.108000+00:00,11,1,Temp. amb I,c,23.9,PP
27,2022-04-20 23:54:52.167000+00:00,20,0,Muestra,muestra,1280.0,PP
28,2022-04-20 23:54:52.166000+00:00,19,2,Oxigeno - II,p,20.843,PP
29,2022-04-20 23:54:52.030000+00:00,16,1,Oxigeno - I,p,20.781,PP
30,2022-04-20 23:54:51.852000+00:00,14,2,Temp. Matriz II,c,23.875,PP
31,2022-04-20 23:54:51.723000+00:00,13,1,Temp. Matriz I,c,23.5,PP
32,2022-04-20 23:54:51.387000+00:00,17,2,Temp. amb II,c,24.0,PP
33,2022-04-20 23:54:51.384000+00:00,18,2,Hum. Rel. II,p,62.5,PP
34,2022-04-20 23:54:51.352000+00:00,12,1,Hum. Rel. I,p,64.7,PP
35,2022-04-20 23:54:51.196000+00:00,11,1,Temp. amb I,c,23.9,PP
36,2022-04-20 23:53:22.335000+00:00,20,0,Muestra,muestra,1279.0,PP
37,2022-04-20 23:53:22.247000+00:00,19,2,Oxigeno - II,p,20.843,PP
38,2022-04-20 23:53:22.136000+00:00,16,1,Oxigeno - I,p,20.774,PP
39,2022-04-20 23:53:22.017000+00:00,14,2,Temp. Matriz II,c,23.875,PP
40,2022-04-20 23:53:21.816000+00:00,13,1,Temp. Matriz I,c,23.5,PP
41,2022-04-20 23:53:21.435000+00:00,17,2,Temp. amb II,c,24.0,PP
42,2022-04-20 23:53:21.431000+00:00,18,2,Hum. Rel. II,p,62.4,PP
43,2022-04-20 23:53:21.429000+00:00,12,1,Hum. Rel. I,p,64.5,PP
44,2022-04-20 23:53:21.287000+00:00,11,1,Temp. amb I,c,23.9,PP
45,2022-04-20 23:51:52.443000+00:00,16,1,Oxigeno - I,p,20.761,PP
46,2022-04-20 23:51:52.439000+00:00,19,2,Oxigeno - II,p,20.847,PP
47,2022-04-20 23:51:52.438000+00:00,20,0,Muestra,muestra,1278.0,PP
48,2022-04-20 23:51:52.036000+00:00,14,2,Temp. Matriz II,c,23.875,PP
49,2022-04-20 23:51:51.892000+00:00,13,1,Temp. Matriz I,c,23.5,PP
50,2022-04-20 23:51:51.547000+00:00,12,1,Hum. Rel. I,p,64.5,PP
51,2022-04-20 23:51:51.525000+00:00,18,2,Hum. Rel. II,p,62.3,PP
52,2022-04-20 23:51:51.525000+00:00,17,2,Temp. amb II,c,24.0,PP
53,2022-04-20 23:51:51.377000+00:00,11,1,Temp. amb I,c,24.0,PP
54,2022-04-20 23:50:22.529000+00:00,20,0,Muestra,muestra,1277.0,PP
55,2022-04-20 23:50:22.527000+00:00,19,2,Oxigeno - II,p,20.851,PP
56,2022-04-20 23:50:22.439000+00:00,16,1,Oxigeno - I,p,20.751,PP
57,2022-04-20 23:50:22.155000+00:00,14,2,Temp. Matriz II,c,23.875,PP
58,2022-04-20 23:50:22.043000+00:00,13,1,Temp. Matriz I,c,23.625,PP
59,2022-04-20 23:50:21.685000+00:00,17,2,Temp. amb II,c,24.0,PP
60,2022-04-20 23:50:21.620000+00:00,18,2,Hum. Rel. II,p,62.2,PP
61,2022-04-20 23:50:21.619000+00:00,12,1,Hum. Rel. I,p,64.5,PP
62,2022-04-20 23:50:21.451000+00:00,11,1,Temp. amb I,c,24.0,PP
63,2022-04-20 23:48:52.523000+00:00,20,0,Muestra,muestra,1276.0,PP
64,2022-04-20 23:48:52.521000+00:00,19,2,Oxigeno - II,p,20.847,PP
65,2022-04-20 23:48:52.385000+00:00,14,2,Temp. Matriz II,c,23.875,PP
66,2022-04-20 23:48:52.355000+00:00,16,1,Oxigeno - I,p,20.751,PP
67,2022-04-20 23:48:52.045000+00:00,13,1,Temp. Matriz I,c,23.625,PP
68,2022-04-20 23:48:51.733000+00:00,12,1,Hum. Rel. I,p,64.5,PP
69,2022-04-20 23:48:51.730000+00:00,18,2,Hum. Rel. II,p,62.2,PP
70,2022-04-20 23:48:51.708000+00:00,17,2,Temp. amb II,c,24.0,PP
71,2022-04-20 23:48:51.544000+00:00,11,1,Temp. amb I,c,24.0,PP
72,2022-04-20 23:47:21.703000+00:00,19,2,Oxigeno - II,p,20.848,PP
73,2022-04-20 23:47:21.596000+00:00,20,0,Muestra,muestra,1275.0,PP
74,2022-04-20 23:47:21.462000+00:00,16,1,Oxigeno - I,p,20.75,PP
75,2022-04-20 23:47:21.238000+00:00,14,2,Temp. Matriz II,c,24.0,PP
76,2022-04-20 23:47:21.169000+00:00,13,1,Temp. Matriz I,c,23.625,PP
77,2022-04-20 23:47:21.067000+00:00,18,2,Hum. Rel. II,p,62.1,PP
78,2022-04-20 23:47:20.870000+00:00,17,2,Temp. amb II,c,24.0,PP
79,2022-04-20 23:47:20.795000+00:00,12,1,Hum. Rel. I,p,64.3,PP
80,2022-04-20 23:47:20.643000+00:00,11,1,Temp. amb I,c,24.0,PP
81,2022-04-20 23:45:51.854000+00:00,20,0,Muestra,muestra,1274.0,PP
82,2022-04-20 23:45:51.704000+00:00,19,2,Oxigeno - II,p,20.851,PP
83,2022-04-20 23:45:51.593000+00:00,16,1,Oxigeno - I,p,20.747,PP
84,2022-04-20 23:45:51.380000+00:00,14,2,Temp. Matriz II,c,24.0,PP
85,2022-04-20 23:45:51.279000+00:00,13,1,Temp. Matriz I,c,23.625,PP
86,2022-04-20 23:45:50.939000+00:00,18,2,Hum. Rel. II,p,62.1,PP
87,2022-04-20 23:45:50.933000+00:00,12,1,Hum. Rel. I,p,64.3,PP
88,2022-04-20 23:45:50.868000+00:00,17,2,Temp. amb II,c,24.0,PP
89,2022-04-20 23:45:50.714000+00:00,11,1,Temp. amb I,c,24.0,PP
90,2022-04-20 23:44:21.793000+00:00,19,2,Oxigeno - II,p,20.855,PP
91,2022-04-20 23:44:21.790000+00:00,20,0,Muestra,muestra,1273.0,PP
92,2022-04-20 23:44:21.624000+00:00,16,1,Oxigeno - I,p,20.735,PP
93,2022-04-20 23:44:21.478000+00:00,14,2,Temp. Matriz II,c,24.0,PP
94,2022-04-20 23:44:21.321000+00:00,13,1,Temp. Matriz I,c,23.625,PP
95,2022-04-20 23:44:20.967000+00:00,12,1,Hum. Rel. I,p,64.2,PP
96,2022-04-20 23:44:20.964000+00:00,17,2,Temp. amb II,c,24.1,PP
97,2022-04-20 23:44:20.963000+00:00,18,2,Hum. Rel. II,p,62.0,PP
98,2022-04-20 23:44:20.824000+00:00,11,1,Temp. amb I,c,24.0,PP
99,2022-04-20 23:42:51.888000+00:00,19,2,Oxigeno - II,p,20.855,PP
100,2022-04-20 23:42:51.877000+00:00,20,0,Muestra,muestra,1272.0,PP
101,2022-04-20 23:42:51.720000+00:00,16,1,Oxigeno - I,p,20.719,PP
102,2022-04-20 23:42:51.488000+00:00,14,2,Temp. Matriz II,c,24.0,PP
103,2022-04-20 23:42:51.411000+00:00,13,1,Temp. Matriz I,c,23.625,PP
104,2022-04-20 23:42:51.197000+00:00,18,2,Hum. Rel. II,p,61.9,PP
105,2022-04-20 23:42:51.056000+00:00,17,2,Temp. amb II,c,24.1,PP
106,2022-04-20 23:42:51.055000+00:00,12,1,Hum. Rel. I,p,64.1,PP
107,2022-04-20 23:42:50.898000+00:00,11,1,Temp. amb I,c,24.1,PP
108,2022-04-20 23:41:22.071000+00:00,19,2,Oxigeno - II,p,20.855,PP
